INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0009', '001', 'Front fascia and header panel', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-PACBS0170', '001', 'Brake cooling duct', 'ordered', '13.64', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAEM0137', '005', 'Door contact', 'installed', '92.45', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAES0104', '005', 'Pressure sensor', 'ordered', '60.09', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-ICS0159', '005', 'Seat Belt', 'ordered', '87.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-BAE0013', '003', 'Radiator core support', 'installed', '39.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAEESS0059', '003', 'Battery plate', 'installed', '30.40', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAEGAM0067', '003', 'Odometer', 'ordered', '5.76', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-BAE0020', '001', 'Trunk', 'installed', '123.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAES0110', '002', 'TDC sensor', 'installed', '93.25', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAES0105', '001', 'Rain sensor', 'ordered', '32.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-BAE0007', '002', 'Fender Musical Instruments Corporation', 'ordered', '33.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAEESS0055', '002', 'Battery box', 'installed', '21.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAEGAM0072', '002', 'Vacuum gauge', 'received', '8.17', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-BAE0008', '004', 'Front clip', 'installed', '76.56', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAECS0052', '002', 'Other alternator parts', 'installed', '25.31', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAES0093', '002', 'Airbag sensor', 'installed', '68.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-ICS0159', '002', 'Seat Belt', 'installed', '35.65', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAESS0116', '002', 'Starter drive', 'installed', '67.55', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DI-EAES0114', '001', 'ABS sensor', 'installed', '113.59', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0000', '001', 'Bonnet/hood', 'installed', '23.11', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0150', '001', 'Wiring connector', 'ordered', '26.22', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0009', '002', 'Front fascia and header panel', 'installed', '77.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEAD0046', '002', 'Tuner', 'installed', '208.70', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0049', '002', 'Alternator bearing', 'installed', '38.88', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0052', '002', 'Other alternator parts', 'installed', '200.69', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAED0025', '005', 'Inner door handle', 'installed', '5.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEIS0076', '005', 'Distributor', 'installed', '22.96', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0110', '005', 'TDC sensor', 'installed', '0.85', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0177', '005', 'Brake pump', 'installed', '27.22', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0057', '003', 'Battery cable', 'installed', '82.89', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEGAM0070', '003', 'Temperature gauge', 'installed', '57.35', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAED0023', '003', 'Door beam and panel', 'ordered', '16.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAELASS0083', '003', 'Engine bay lighting', 'received', '16.22', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0050', '001', 'Alternator bracket', 'installed', '16.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEWH0129', '001', 'Engine compartment harness', 'installed', '15.86', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0183', '001', 'Shoe web', 'installed', '17.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0139', '003', 'Engine control unit', 'installed', '50.62', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0169', '003', 'Brake backing pad', 'installed', '49.93', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0169', '001', 'Brake backing pad', 'installed', '50.45', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0021', '004', 'Valance', 'received', '21.63', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0143', '004', 'Performance Monitor', 'installed', '45.21', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0144', '004', 'Relay connector', 'installed', '104.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0145', '001', 'Remote lock', 'installed', '50.47', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0110', '001', 'TDC sensor', 'installed', '93.64', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0170', '001', 'Brake cooling duct', 'installed', '104.70', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0049', '003', 'Alternator bearing', 'installed', '17.10', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0061', '003', 'Voltage regulator', 'installed', '10.22', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-ICS0162', '003', 'Seat track', 'installed', '38.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0178', '003', 'Brake roll', 'installed', '23.72', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0048', '001', 'Alternator', 'received', '5.07', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0164', '001', 'ABS steel pin', 'ordered', '23.63', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0190', '001', 'Hose', 'installed', '19.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0011', '001', 'Pillar and hard trim', 'installed', '51.42', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEGAM0070', '001', 'Temperature gauge', 'installed', '31.96', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEIS0078', '001', 'Ignition box', 'installed', '4.54', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0149', '001', 'Transmission computer', 'installed', '41.33', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEAD0041', '003', 'Antenna assembly', 'installed', '14.64', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0139', '003', 'Engine control unit', 'ordered', '40.23', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0181', '003', 'Brake shoe', 'installed', '36.16', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEGAM0071', '001', 'Tire pressure gauge', 'installed', '44.76', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0138', '001', 'Engine computer and management system', 'installed', '37.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0165', '001', 'Adjusting mechanism', 'installed', '0.06', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0096', '002', 'Crankshaft position sensor', 'installed', '18.99', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEGAM0065', '001', 'Fuel gauge', 'installed', '61.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0122', '001', 'Power window switch', 'installed', '3.39', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEWH0131', '001', 'Underfloor harness', 'installed', '53.76', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0177', '001', 'Brake pump', 'installed', '5.81', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0182', '001', 'Brake lining', 'installed', '35.93', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0191', '001', 'Brake booster hose', 'installed', '0.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0022', '002', 'Welded assembly', 'installed', '101.56', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0189', '002', 'Hold-down springs', 'installed', '33.69', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0177', '002', 'Brake pump', 'installed', '24.95', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0060', '001', 'Battery tray', 'installed', '141.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0101', '001', 'Manifold absolute pressure sensor', 'installed', '136.35', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0166', '001', 'Anchor', 'installed', '187.34', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0056', '001', 'Battery cable terminal', 'received', '89.06', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0175', '001', 'Brake pedal', 'ordered', '73.78', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-ICS0162', '001', 'Seat track', 'installed', '94.64', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0139', '002', 'Engine control unit', 'installed', '52.72', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0144', '002', 'Relay connector', 'installed', '34.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0164', '002', 'ABS steel pin', 'installed', '5.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAEW0037', '005', 'Window regulator', 'installed', '20.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEIS0078', '005', 'Ignition box', 'installed', '15.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0100', '005', 'Light sensor', 'installed', '17.34', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0054', '004', 'Performance battery', 'ordered', '2.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEGAM0064', '004', 'Dynamometer', 'installed', '25.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0126', '004', 'Thermostat', 'ordered', '1.00', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0166', '004', 'Anchor', 'received', '35.47', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0114', '002', 'ABS sensor', 'ordered', '10.07', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEAD0046', '001', 'Tuner', 'received', '42.31', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEIS0079', '001', 'Ignition Coil', 'installed', '81.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEM0132', '001', 'Air bag control module', 'installed', '21.70', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0195', '001', 'Load-sensing valve', 'installed', '63.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAE0022', '001', 'Welded assembly', 'installed', '48.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0122', '001', 'Power window switch', 'installed', '29.96', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAES0107', '003', 'Temperature sensor', 'installed', '14.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-ICS0159', '003', 'Seat Belt', 'installed', '12.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0165', '003', 'Adjusting mechanism', 'installed', '22.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0195', '003', 'Load-sensing valve', 'installed', '7.69', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEAD0046', '001', 'Tuner', 'installed', '80.66', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAECS0048', '001', 'Alternator', 'installed', '38.05', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0176', '004', 'Brake piston', 'installed', '8.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEAD0046', '004', 'Tuner', 'installed', '42.13', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0056', '001', 'Battery cable terminal', 'installed', '8.76', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAED0024', '001', 'Outer door handle', 'installed', '37.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-BAEW0035', '001', 'Sunroof motor', 'installed', '64.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-EAEESS0054', '001', 'Performance battery', 'installed', '63.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('DE-PACBS0163', '001', 'Anti-lock braking system', 'installed', '88.55', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0044', '003', 'Other devices', 'installed', '27.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0046', '003', 'Tuner', 'installed', '42.93', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0105', '004', 'Rain sensor', 'installed', '120.52', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0167', '004', 'Bleed nipple', 'installed', '81.09', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAEW0038', '003', 'Windshield', 'installed', '84.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0069', '001', 'Tachometer', 'received', '69.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0070', '001', 'Temperature gauge', 'ordered', '73.28', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAE0011', '001', 'Pillar and hard trim', 'installed', '19.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0100', '001', 'Light sensor', 'installed', '216.06', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0112', '001', 'IMA sensor', 'installed', '149.57', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-ICS0157', '001', 'Fastener', 'installed', '157.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0102', '003', 'Oxygen sensor', 'installed', '107.32', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0188', '003', 'Dual circuit brake system', 'installed', '147.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAE0001', '002', 'Bumper', 'installed', '25.85', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0066', '002', 'Hydrometer', 'received', '18.83', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0104', '002', 'Pressure sensor', 'installed', '30.50', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0114', '002', 'ABS sensor', 'ordered', '24.95', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0045', '001', 'Speaker', 'ordered', '10.05', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEM0147', '001', 'Speed controller', 'received', '11.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0121', '001', 'Ignition Switch', 'received', '15.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0192', '001', 'Air brake nylon hose', 'ordered', '2.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0042', '001', 'Antenna cable', 'ordered', '3.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0045', '001', 'Speaker', 'ordered', '35.01', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAESS0116', '001', 'Starter drive', 'received', '18.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAE0008', '002', 'Front clip', 'received', '85.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0023', '002', 'Door beam and panel', 'installed', '9.56', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0032', '003', 'Centre Locking', 'received', '72.01', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0108', '003', 'Transmission input and output sensor', 'installed', '38.81', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0031', '001', 'Lock', 'installed', '84.37', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0100', '001', 'Light sensor', 'installed', '52.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-ICS0160', '001', 'Seat bracket', 'installed', '75.84', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0198', '001', 'Other braking system parts', 'installed', '96.62', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0067', '002', 'Odometer', 'ordered', '5.39', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAELASS0091', '002', 'Tail light', 'installed', '31.20', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0096', '002', 'Crankshaft position sensor', 'received', '4.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEIS0080', '004', 'Ignition coil parts', 'received', '51.17', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAEW0037', '002', 'Window regulator', 'installed', '9.40', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-ICS0155', '002', 'Bucket Seat', 'installed', '25.13', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-IFCAP0151', '002', 'Carpet and other floor material', 'installed', '0.85', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEESS0061', '003', 'Voltage regulator', 'installed', '33.78', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0063', '003', 'Clinometer', 'installed', '7.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0066', '003', 'Hydrometer', 'installed', '62.10', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0067', '003', 'Odometer', 'installed', '28.66', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEESS0053', '001', 'Battery', 'installed', '23.28', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0027', '001', 'Door seal', 'installed', '1.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0047', '001', 'Subwoofer', 'installed', '16.50', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0189', '001', 'Hold-down springs', 'installed', '26.28', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0098', '001', 'Fuel level sensor', 'installed', '38.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0168', '001', 'Brake backing plate', 'received', '33.64', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0180', '001', 'Brake servo', 'received', '39.81', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0094', '001', 'Anti-pinch sensor', 'installed', '70.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0171', '001', 'Brake disc', 'installed', '28.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEM0150', '001', 'Wiring connector', 'installed', '83.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAE0014', '003', 'Rocker panel', 'installed', '57.47', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0167', '003', 'Bleed nipple', 'installed', '55.34', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0173', '003', 'Brake line', 'installed', '51.40', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEM0146', '001', 'Shift improver', 'received', '93.34', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0171', '001', 'Brake disc', 'ordered', '104.70', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0063', '002', 'Clinometer', 'ordered', '5.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0072', '005', 'Vacuum gauge', 'installed', '47.45', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEM0144', '005', 'Relay connector', 'installed', '80.35', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0168', '005', 'Brake backing plate', 'installed', '109.16', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0185', '005', 'Calibrated friction brake', 'installed', '9.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0028', '001', 'Door watershield', 'received', '15.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEESS0054', '001', 'Performance battery', 'installed', '36.16', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEESS0055', '001', 'Battery box', 'installed', '29.09', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEM0137', '001', 'Door contact', 'installed', '35.68', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0121', '001', 'Ignition Switch', 'installed', '18.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAECS0048', '001', 'Alternator', 'installed', '15.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAECS0052', '001', 'Other alternator parts', 'ordered', '10.19', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEGAM0067', '001', 'Odometer', 'installed', '24.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-PACBS0187', '001', 'Combination valve', 'received', '3.07', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAELASS0092', '004', 'Tail light cover', 'installed', '38.26', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0043', '003', 'Radio and media player', 'installed', '61.37', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEESS0054', '003', 'Performance battery', 'installed', '51.69', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAE0017', '002', 'Front spoiler', 'installed', '27.34', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAES0101', '002', 'Manifold absolute pressure sensor', 'received', '25.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-BAED0028', '001', 'Door watershield', 'installed', '18.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('FE-EAEAD0043', '001', 'Radio and media player', 'installed', '25.00', '1');
